Account number,Type,Date,Amount,Currency
88910118,WITHDRAW,24-06-2024 17:24:25,12000,USD
88910118,DEPOSIT,24-06-2024 18:43:55,200000,USD
88910118,WITHDRAW,24-06-2024 19:08:29,2000,USD
88910118,WITHDRAW,24-06-2024 19:08:42,2000,USD
88910118,DEPOSIT,24-06-2024 19:09:27,20000,USD
88910118,WITHDRAW,24-06-2024 19:28:24,5000,USD
88910118,WITHDRAW,24-06-2024 19:29:00,3000,USD
88910118,WITHDRAW,24-06-2024 20:01:30,2000,USD
88910118,WITHDRAW,24-06-2024 20:01:37,3000,USD
88910118,WITHDRAW,24-06-2024 20:02:34,20000,USD
